task_id,method_id,resolution,precision_class,platform,clean_runtime_ms_median,peak_process_gpu_memory_mib_median,power_energy_per_match_j_median,clean_runtime_status,memory_status,power_status,oom_status,power_scope,clean_runtime_valid_pair_count,memory_valid_pair_count,power_valid_pair_count
sthereo_day_night_thermal_thermal,mast3r,512,mp,orin,2857.5327145,3838.19682598114,20.513373591232,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,mast3r,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,matchanything-eloftr,128,fp16,orin,122.3017645,424.0347623825073,0.3331269073215171,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,128,fp32,orin,112.6610545,714.6737337112427,0.4622868184133333,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,128,mp,orin,136.5744585,714.0338411331177,0.3719793862967611,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,256,fp16,orin,142.801027,688.0347623825073,0.6546187703076052,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,256,fp32,orin,152.821075,992.6737337112428,1.0924221730450732,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,256,mp,orin,159.3987315,970.0338411331176,0.7319018410702222,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,512,fp16,orin,259.92748900000004,1702.034762382507,1.8963572050967272,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,512,fp32,orin,417.135418,2180.033749580384,3.655810379383466,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,512,mp,orin,289.5988425,2074.03381061554,2.029292184205257,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,matchanything-eloftr,1024,fp16,orin,1195.7126225000002,4438.034762382507,8.4377226217856,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
